num_bikes_available_types,_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,created_at,__v
"{""mechanical"":2,""ebike"":0}",687f1620e2c3399d7d388532,2,0,38,0,1753159059,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d388533,0,2,26,0,1753159182,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":2,""ebike"":0}",687f1620e2c3399d7d388534,2,2,16,0,1753159014,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":4,""ebike"":0}",687f1620e2c3399d7d388535,4,2,36,0,1753159051,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":11,""ebike"":0}",687f1620e2c3399d7d388536,11,2,7,0,1753159121,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d388537,0,0,24,0,1753159019,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d388538,0,1,23,0,1753159106,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":6,""ebike"":0}",687f1620e2c3399d7d388539,6,2,16,0,1753159103,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":1,""ebike"":0}",687f1620e2c3399d7d38853a,1,0,15,0,1753159074,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":20,""ebike"":0}",687f1620e2c3399d7d38853b,20,5,5,0,1753159175,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":6,""ebike"":0}",687f1620e2c3399d7d38853c,6,4,20,1,1753159128,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":9,""ebike"":0}",687f1620e2c3399d7d38853d,9,0,11,0,1753159032,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":13,""ebike"":0}",687f1620e2c3399d7d38853e,13,0,11,0,1753159070,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d38853f,0,0,20,0,1753159173,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d388540,0,0,18,0,1753159181,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":8,""ebike"":0}",687f1620e2c3399d7d388541,8,0,22,0,1753159053,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d388542,0,2,28,0,1753159110,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":3,""ebike"":0}",687f1620e2c3399d7d388543,3,1,16,0,1753156108,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":9,""ebike"":0}",687f1620e2c3399d7d388544,9,2,19,0,1753159146,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":0,""ebike"":0}",687f1620e2c3399d7d388545,0,3,15,0,1753159133,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
"{""mechanical"":2,""ebike"":0}",687f1620e2c3399d7d388546,2,1,17,0,1753159100,false,IN_SERVICE,true,true,true,,2025-07-22T04:40:00.577Z,0
